id;product_id;express_sortiment;voll_sortiment;product_lager_id;produktname;beschreibung;ek;vk;ustr;Verpackungsinhalt;Verpackungseinheit;lagerbestand;lagerueberwachung;kat_id;kategorie;unterkategorie;direktkategorie;pfand;gewicht;kalorien;verpackung;bildname;bildname_inhaltsstoffe;neu_grundpreis;neu_inhaltsstoffe;neu_zusatzst;neu_naehrwerte;neu_pflichthinweis;numReviews;rating;tiefkuehlware;kasten;trockenware;kuehlware;createdAt;updatedAt;pictureurl;Altersgrenze
2;201000;true;false;0;Coca Cola;12x1L;10;12.99;0.19;30;G;0;false;0;Getränke;Softdrinks;Cola;3.99;12;;;201000.png;;0;;Koffein;;;6;3;false;false;true;true;;2021-06-29T14:10:41.000Z;https://www.walhalla-software-dev.de/regensbutler_product_images/;0
3;201002;true;false;0;Mezzo Mix;12x1L;10;12.99;0.19;42;ST;0;false;0;Getränke;Softdrinks;Spezi;3.99;12;;;201000.png;;0;;Koffein;;;10;5;false;false;true;true;;;https://www.walhalla-software-dev.de/regensbutler_product_images/;0
4;201004;true;false;0;Fanta;12x1L;10;12.99;0.19;30;ST;0;false;0;Getränke;Softdrinks;Spezi;3.99;12;;;201002.jpg;;0;;Koffein;;;10;5;false;false;true;true;;;https://www.walhalla-software-dev.de/regensbutler_product_images/;0
5;201005;true;false;0;FRECHE FREUND;KNUSPERFLIPS KAROTT 1J;0.64;0.85;0.07;31;ST;0;false;0;Baby & Kind;BABY SUESSWAREN/SNACKS E-MWST;BABY SUESSWAREN/SNACKS E-MWST;0;0;;;;;0;;;;;0;0;false;false;false;false;;;https://www.walhalla-software-dev.de/regensbutler_product_images/;0
6;201006;true;false;0;PAMPERS BABY;DRY EZ GR.3 MIDI 6-10;8.03;9.99;0.19;27;ST;0;false;0;Baby & Kind;BABY WINDELN;BABY WINDELN;0;0;;;;;0;;;;;0;0;false;false;false;false;;;https://www.walhalla-software-dev.de/regensbutler_product_images/;0
7;201007;true;false;0;PAMPERS BABY;PP GR.4 MAXI 9-14KG EZ;8.39;9.99;0.19;26;ST;0;false;0;Baby & Kind;BABY WINDELN;BABY WINDELN;0;0;;;;;0;;;;;0;0;false;false;false;false;;;https://www.walhalla-software-dev.de/regensbutler_product_images/;0
8;201008;true;false;0;PAMPERS BABY;DRY EZ GR.5 JUN 11-16;8.03;9.99;0.19;32;ST;0;false;0;Baby & Kind;BABY WINDELN;BABY WINDELN;0;0;;;;;0;;;;;0;0;false;false;false;false;;;https://www.walhalla-software-dev.de/regensbutler_product_images/;0
9;201009;true;false;0;PAMPERS BABY;DRY EZ GR.6 XL 13-18;8.03;9.99;0.19;2;ST;0;false;0;Baby & Kind;BABY WINDELN;BABY WINDELN;0;0;;;;;0;;;;;0;0;false;false;false;false;;;https://www.walhalla-software-dev.de/regensbutler_product_images/;0
10;201010;true;false;0;PAMPERS BABY;PP NB GR.1 NEWB 2-5KG;4.4;9.99;0.19;2;ST;0;false;0;Baby & Kind;BABY WINDELN;BABY WINDELN;0;0;;;;;0;;;;;0;0;false;false;false;false;;;https://www.walhalla-software-dev.de/regensbutler_product_images/;0
11;201011;true;false;0;PAMPERS BABY;PP NB GR.2 MINI 4-8KG;6.54;9.99;0.19;2;ST;0;false;0;Baby & Kind;BABY WINDELN;BABY WINDELN;0;0;;;;;0;;;;;0;0;false;false;false;false;;;https://www.walhalla-software-dev.de/regensbutler_product_images/;0
